24.64	6.60	25.67	2.11
14.75	6.39	30.31	1.34
24.26	6.87	25.78	1.40
30.00	6.13	11.46	3.50
47.30	4.00	14.18	6.40
21.62	6.41	61.90	4.00
34.03	4.16	47.50	3.50
27.44	4.00	31.22	3.50
26.53	4.12	28.73	2.00
25.00	3.65	36.07	3.63
38.55	4.16	73.63	3.50
23.77	6.41	28.93	1.89
24.64	6.95	23.49	1.38
26.89	2.94	31.32	6.18
24.35	6.42	74.59	1.63
29.71	4.00	22.79	4.00
22.39	6.75	72.08	2.00
77.55	4.01	26.51	6.66
25.40	4.00	23.46	2.88
25.43	6.89	22.85	1.53
30.00	4.32	61.79	6.76
25.19	5.87	27.52	2.71
24.32	6.95	26.98	0.82
65.96	4.00	16.81	7.41
25.90	4.13	25.70	5.43
50.99	3.90	60.04	5.89
16.95	7.00	24.16	0.75
35.41	6.14	66.09	7.52
24.64	6.95	23.49	1.86
20.71	6.71	29.87	1.86
25.00	6.87	28.16	1.68
17.88	6.09	43.00	2.21
16.38	6.87	17.50	0.82
28.31	4.34	36.29	4.51
25.64	4.34	10.95	0.00
17.88	7.80	23.41	2.38
22.93	7.18	17.50	1.64
